,1st,2nd,3rd,4th,5th,avg
#Streams: 1,24.738,24.726,24.257,25.634,26.039,25.079
#Streams: 2,52.867,51.893,52.225,49.343,53.248,51.915
#Streams: 3,84.703,77.013,82.698,74.395,77.718,79.305
#Streams: 4,98.497,109.299,102.418,110.929,98.378,103.904
#Streams: 5,138.375,133.947,143.744,129.681,128.831,134.916
#Streams: 6,163.831,157.008,164.351,173.011,163.033,164.247
#Streams: 7,204.297,196.346,191.747,211.928,195.287,199.921
#Streams: 8,232.379,230.349,215.082,220.986,231.176,225.994
#Streams: 9,252.558,250.513,260.311,254.162,265.995,256.708
#Streams: 10,291.606,295.86,288.52,302.785,297.985,295.351
