,1st,2nd,3rd,4th,5th,avg
#Streams: 1,25.411,25.874,25.572,24.73,23.84,25.085
#Streams: 2,49.821,52.859,51.468,50.785,49.172,50.821
#Streams: 3,74.458,79.941,78.032,77.805,78.992,77.846
#Streams: 4,103.172,117.508,108.128,103.726,114.69,109.445
#Streams: 5,133.799,127.189,139.65,129.888,139.148,133.935
#Streams: 6,162.978,166.462,164.547,170.256,168.903,166.629
#Streams: 7,199.051,208.936,206.731,199.91,193.878,201.701
#Streams: 8,216.532,223.911,236.953,247.223,232.079,231.34
#Streams: 9,259.538,262.699,260.613,263.579,267.571,262.8
#Streams: 10,290.581,294.758,297.216,293.689,289.259,293.101
