,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.38,0.373,0.366,0.385,0.367,0.374
#Streams: 2,0.612,0.639,0.623,0.617,0.623,0.623
#Streams: 3,0.878,0.909,0.857,0.859,0.855,0.872
#Streams: 4,1.081,1.08,1.088,1.093,1.075,1.083
#Streams: 5,1.319,1.349,1.344,1.324,1.374,1.342
#Streams: 6,1.586,1.549,1.546,1.54,1.572,1.559
#Streams: 7,1.808,1.797,1.799,1.794,1.79,1.798
#Streams: 8,2.023,2.038,2.061,2.019,2.03,2.034
#Streams: 9,2.26,2.262,2.272,2.265,2.263,2.264
#Streams: 10,2.508,2.528,2.521,2.612,2.587,2.551
