,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.439,0.386,0.385,0.376,0.383,0.394
#Streams: 2,0.657,0.627,0.652,0.617,0.607,0.632
#Streams: 3,0.847,0.848,0.839,0.838,0.856,0.846
#Streams: 4,1.06,1.086,1.076,1.066,1.068,1.071
#Streams: 5,1.301,1.336,1.301,1.286,1.314,1.308
#Streams: 6,1.548,1.545,1.548,1.534,1.528,1.541
#Streams: 7,1.796,1.741,1.764,1.778,1.822,1.78
#Streams: 8,2.047,2.019,1.989,1.997,1.989,2.008
#Streams: 9,2.232,2.202,2.256,2.231,2.216,2.227
#Streams: 10,2.443,2.428,2.481,2.434,2.442,2.446
