,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.196,0.158,0.156,0.159,0.155,0.165
#Streams: 2,0.19,0.181,0.191,0.212,0.204,0.196
#Streams: 3,0.234,0.235,0.25,0.244,0.234,0.239
#Streams: 4,0.276,0.303,0.256,0.275,0.262,0.274
#Streams: 5,0.343,0.292,0.33,0.277,0.273,0.303
#Streams: 6,0.308,0.326,0.308,0.344,0.359,0.329
#Streams: 7,0.338,0.375,0.333,0.388,0.327,0.352
#Streams: 8,0.347,0.368,0.389,0.339,0.354,0.359
#Streams: 9,0.4,0.393,0.426,0.369,0.384,0.394
#Streams: 10,0.407,0.417,0.469,0.505,0.454,0.45
