,1st,2nd,3rd,4th,5th,avg
#Streams: 1,25.577,24.042,24.577,24.871,25.028,24.819
#Streams: 2,51.935,48.915,53.312,49.242,49.594,50.6
#Streams: 3,78.757,80.592,76.848,77.007,76.538,77.948
#Streams: 4,100.888,117.069,116.795,106.075,108.145,109.794
#Streams: 5,136.95,134.515,141.781,144.422,136.267,138.787
#Streams: 6,161.804,168.26,167.29,162.494,169.44,165.858
#Streams: 7,201.223,204.608,196.728,188.85,192.143,196.71
#Streams: 8,223.859,227.385,233.424,225.528,231.147,228.269
#Streams: 9,255.809,266.624,262.986,252.851,260.217,259.697
#Streams: 10,297.378,293.334,282.69,290.285,290.999,290.937
