,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.373,0.376,0.369,0.384,0.373,0.375
#Streams: 2,0.615,0.615,0.651,0.646,0.636,0.633
#Streams: 3,0.878,0.901,0.876,0.862,0.857,0.875
#Streams: 4,1.111,1.096,1.113,1.101,1.101,1.104
#Streams: 5,1.334,1.381,1.333,1.37,1.331,1.35
#Streams: 6,1.587,1.558,1.592,1.566,1.591,1.579
#Streams: 7,1.802,1.803,1.798,1.797,1.792,1.798
#Streams: 8,2.04,2.033,2.021,2.024,2.081,2.04
#Streams: 9,2.289,2.282,2.28,2.272,2.283,2.281
#Streams: 10,2.496,2.539,2.563,2.562,2.514,2.535
