,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.505,0.504,0.514,0.503,0.511,0.507
#Streams: 2,0.877,0.881,0.899,0.887,0.893,0.887
#Streams: 3,1.264,1.25,1.242,1.257,1.277,1.258
#Streams: 4,1.637,1.624,1.649,1.617,1.66,1.637
#Streams: 5,2.029,2.002,1.996,2.044,2.098,2.034
#Streams: 6,2.386,2.371,2.348,2.359,2.381,2.369
#Streams: 7,2.72,2.702,2.719,2.721,2.74,2.72
#Streams: 8,3.087,3.107,3.099,3.118,3.099,3.102
#Streams: 9,3.495,3.453,3.466,3.487,3.444,3.469
#Streams: 10,3.89,3.882,3.813,3.851,3.831,3.853
