,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.544,2.508,2.493,2.609,2.507,2.532
#Streams: 2,4.861,5.816,6.582,4.935,5.157,5.47
#Streams: 3,7.265,7.191,7.31,7.585,7.205,7.311
#Streams: 4,9.847,9.537,9.91,9.577,9.693,9.713
#Streams: 5,12.447,11.984,12.724,11.936,11.993,12.217
#Streams: 6,14.485,14.218,14.817,14.76,15.771,14.81
#Streams: 7,16.937,16.815,17.649,17.379,18.176,17.391
#Streams: 8,19.097,19.441,19.198,19.05,20.119,19.381
#Streams: 9,21.682,21.437,21.758,22.299,21.595,21.754
#Streams: 10,24.009,24.27,25.269,24.114,25.056,24.544
