,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.545,2.698,2.586,2.737,2.538,2.621
#Streams: 2,4.953,5.12,4.932,4.949,4.956,4.982
#Streams: 3,7.36,7.442,7.356,7.367,7.277,7.36
#Streams: 4,10.116,9.644,9.699,9.784,9.705,9.79
#Streams: 5,12.07,12.917,11.947,12.063,12.087,12.217
#Streams: 6,14.415,14.926,14.591,14.735,14.26,14.585
#Streams: 7,17.094,16.811,17.334,17.677,16.597,17.103
#Streams: 8,20.294,19.373,19.307,20.201,19.207,19.676
#Streams: 9,21.509,22.475,22.494,21.529,21.653,21.932
#Streams: 10,25.285,24.706,24.907,23.863,23.724,24.497
