,1st,2nd,3rd,4th,5th,avg
#Streams: 1,25.347,25.839,25.2,24.585,24.443,25.083
#Streams: 2,50.437,54.215,52.965,51.757,49.332,51.741
#Streams: 3,78.565,82.777,87.33,85.1,90.286,84.812
#Streams: 4,112.923,107.645,119.418,118.939,122.615,116.308
#Streams: 5,146.315,140.685,145.706,134.887,144.605,142.44
#Streams: 6,171.701,172.973,159.482,180.637,165.731,170.105
#Streams: 7,196.539,211.244,203.648,212.314,198.387,204.426
#Streams: 8,223.589,224.831,229.067,233.982,220.885,226.471
#Streams: 9,269.817,264.542,254.851,260.804,269.807,263.964
#Streams: 10,296.234,305.128,293.763,302.317,304.762,300.441
