,1st,2nd,3rd,4th,5th,avg
#Streams: 1,24.429,24.159,24.114,25.305,25.667,24.735
#Streams: 2,50.842,51.794,47.861,51.788,52.514,50.96
#Streams: 3,77.843,76.034,75.044,78.537,78.026,77.097
#Streams: 4,109.21,103.533,111.482,99.691,116.183,108.02
#Streams: 5,135.522,137.057,137.74,135.907,124.987,134.243
#Streams: 6,171.133,157.973,169.717,160.041,160.621,163.897
#Streams: 7,211.91,190.868,199.126,195.267,191.289,197.692
#Streams: 8,221.615,245.001,237.381,237.069,239.903,236.194
#Streams: 9,269.757,263.738,264.793,258.264,269.38,265.186
#Streams: 10,287.16,287.15,285.048,295.081,286.977,288.283
