,1st,2nd,3rd,4th,5th,avg
#Streams: 1,22.408,24.09,23.597,23.145,26.895,24.027
#Streams: 2,48.774,47.613,46.098,47.615,48.977,47.815
#Streams: 3,72.149,71.916,71.839,80.265,74.542,74.142
#Streams: 4,97.527,96.783,110.749,95.893,106.101,101.411
#Streams: 5,132.002,123.482,130.539,122.494,127.195,127.142
#Streams: 6,164.449,152.072,158.102,150.969,160.116,157.142
#Streams: 7,186.774,183.78,181.297,180.923,204.595,187.474
#Streams: 8,232.844,225.078,212.388,209.372,210.86,218.108
#Streams: 9,244.74,250.836,254.576,248.623,251.361,250.027
#Streams: 10,265.719,268.247,288.733,270.847,271.969,273.103
