,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.407,0.408,0.509,0.439,0.511,0.455
#Streams: 2,0.669,0.624,0.659,0.661,0.655,0.654
#Streams: 3,0.934,0.878,0.862,0.859,0.864,0.879
#Streams: 4,1.139,1.141,1.188,1.206,1.17,1.169
#Streams: 5,1.984,2.124,1.672,1.448,1.415,1.729
#Streams: 6,1.784,2.057,2.254,1.706,1.616,1.883
#Streams: 7,1.937,1.876,1.904,2.006,2.057,1.956
#Streams: 8,2.281,2.417,2.285,2.22,2.192,2.279
#Streams: 9,2.797,2.827,2.582,2.916,2.408,2.706
#Streams: 10,2.669,3.031,2.69,2.845,2.693,2.786
