,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.216,0.267,0.206,0.262,0.224,0.235
#Streams: 2,0.264,0.261,0.255,0.252,0.251,0.257
#Streams: 3,0.299,0.296,0.302,0.347,0.334,0.316
#Streams: 4,0.384,0.424,0.411,0.385,0.421,0.405
#Streams: 5,0.45,0.472,0.45,0.426,0.418,0.443
#Streams: 6,0.485,0.476,0.485,0.478,0.472,0.479
#Streams: 7,0.584,0.534,0.579,0.612,0.567,0.575
#Streams: 8,0.613,0.616,0.617,0.615,0.584,0.609
#Streams: 9,0.641,0.66,0.664,0.64,0.65,0.651
#Streams: 10,0.684,0.693,0.693,0.705,0.701,0.695
