,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.197,0.17,0.168,0.168,0.17,0.175
#Streams: 2,0.203,0.205,0.203,0.203,0.203,0.203
#Streams: 3,0.244,0.239,0.234,0.231,0.237,0.237
#Streams: 4,0.267,0.263,0.267,0.259,0.269,0.265
#Streams: 5,0.299,0.285,0.29,0.292,0.293,0.292
#Streams: 6,0.327,0.331,0.328,0.325,0.332,0.329
#Streams: 7,0.377,0.358,0.371,0.379,0.356,0.368
#Streams: 8,0.404,0.379,0.39,0.379,0.374,0.385
#Streams: 9,0.406,0.416,0.414,0.413,0.406,0.411
#Streams: 10,0.447,0.455,0.441,0.443,0.457,0.449
