,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.436,0.476,0.4,0.483,0.433,0.446
#Streams: 2,0.644,0.667,0.654,0.654,0.687,0.661
#Streams: 3,0.901,0.935,0.997,0.926,0.927,0.937
#Streams: 4,1.175,1.259,1.375,1.165,1.182,1.231
#Streams: 5,1.488,1.469,1.523,1.475,1.436,1.478
#Streams: 6,2.023,1.701,1.709,1.691,1.664,1.758
#Streams: 7,1.893,1.967,1.904,1.871,1.927,1.912
#Streams: 8,2.144,2.242,2.403,2.927,3.329,2.609
#Streams: 9,3.941,3.581,3.012,3.48,2.599,3.323
#Streams: 10,2.947,2.955,2.944,2.952,2.815,2.923
