,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.135,0.136,0.15,0.153,0.152,0.145
#Streams: 2,0.154,0.141,0.135,0.209,0.148,0.157
#Streams: 3,0.147,0.148,0.162,0.144,0.145,0.149
#Streams: 4,0.142,0.145,0.144,0.145,0.143,0.144
#Streams: 5,0.145,0.144,0.146,0.147,0.145,0.145
#Streams: 6,0.144,0.148,0.148,0.153,0.145,0.148
#Streams: 7,0.148,0.149,0.151,0.149,0.156,0.151
#Streams: 8,0.151,0.155,0.151,0.149,0.148,0.151
#Streams: 9,0.15,0.156,0.193,0.16,0.151,0.162
#Streams: 10,0.152,0.161,0.168,0.165,0.156,0.16
