,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.102,2.128,2.244,2.171,2.096,2.148
#Streams: 2,5.796,5.804,5.774,5.717,5.738,5.766
#Streams: 3,8.622,8.614,8.647,8.587,8.611,8.616
#Streams: 4,11.316,11.093,11.256,11.216,11.432,11.263
#Streams: 5,14.123,14.261,14.476,14.836,14.619,14.463
#Streams: 6,17.647,17.831,18.353,17.557,18.192,17.916
#Streams: 7,21.57,21.914,20.542,21.05,21.239,21.263
#Streams: 8,22.482,23.162,22.738,21.759,23.591,22.746
#Streams: 9,26.403,24.826,26.12,25.909,25.831,25.818
#Streams: 10,29.736,27.676,28.168,29.226,28.98,28.757
