,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.136,0.156,0.137,0.165,0.141,0.147
#Streams: 2,0.174,0.167,0.15,0.169,0.156,0.163
#Streams: 3,0.154,0.147,0.144,0.136,0.136,0.143
#Streams: 4,0.136,0.133,0.134,0.137,0.138,0.136
#Streams: 5,0.136,0.134,0.137,0.138,0.136,0.136
#Streams: 6,0.143,0.156,0.174,0.187,0.147,0.161
#Streams: 7,0.146,0.183,0.151,0.154,0.18,0.163
#Streams: 8,0.157,0.145,0.186,0.155,0.17,0.163
#Streams: 9,0.161,0.146,0.154,0.188,0.168,0.163
#Streams: 10,0.163,0.168,0.172,0.167,0.178,0.17
