,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.141,0.155,0.143,0.167,0.188,0.159
#Streams: 2,0.156,0.149,0.157,0.155,0.156,0.155
#Streams: 3,0.161,0.16,0.156,0.155,0.152,0.157
#Streams: 4,0.155,0.158,0.159,0.17,0.158,0.16
#Streams: 5,0.171,0.16,0.161,0.162,0.161,0.163
#Streams: 6,0.164,0.164,0.166,0.166,0.167,0.165
#Streams: 7,0.167,0.169,0.169,0.166,0.171,0.168
#Streams: 8,0.171,0.172,0.179,0.173,0.172,0.173
#Streams: 9,0.171,0.176,0.177,0.176,0.177,0.175
#Streams: 10,0.177,0.177,0.181,0.197,0.193,0.185
