,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.153,1.851,1.975,3.023,3.405,2.481
#Streams: 2,9.543,13.799,16.846,14.389,8.849,12.685
#Streams: 3,7.706,7.554,7.482,7.415,7.777,7.587
#Streams: 4,11.764,12.896,10.342,10.073,9.803,10.976
#Streams: 5,13.147,15.411,16.847,13.044,12.675,14.225
#Streams: 6,16.606,14.985,14.969,14.994,15.46,15.403
#Streams: 7,17.412,16.826,15.782,19.688,18.667,17.675
#Streams: 8,22.32,20.538,20.302,20.205,19.863,20.646
#Streams: 9,22.642,22.46,23.458,21.725,21.562,22.369
#Streams: 10,24.612,25.018,25.475,23.145,22.487,24.147
